,occurance_count
3/16/2011,363
3/17/2011,413
3/18/2011,452
3/19/2011,352
3/20/2011,334
3/21/2011,364
3/22/2011,367
3/23/2011,401
3/24/2011,408
3/25/2011,440
3/26/2011,386
3/27/2011,319
3/28/2011,399
3/29/2011,369
3/30/2011,440
3/31/2011,387
4/1/2011,511
4/2/2011,371
4/3/2011,360
4/4/2011,387
4/5/2011,391
4/6/2011,441
4/7/2011,404
4/8/2011,406
4/9/2011,401
4/10/2011,316
4/11/2011,416
4/12/2011,392
4/13/2011,390
4/14/2011,446
4/15/2011,501
4/16/2011,350
4/17/2011,355
4/18/2011,429
4/19/2011,371
4/20/2011,404
4/21/2011,403
4/22/2011,456
4/23/2011,350
4/24/2011,298
4/25/2011,355
4/26/2011,394
4/27/2011,416
4/28/2011,428
4/29/2011,465
4/30/2011,392
5/1/2011,406
5/2/2011,424
5/3/2011,422
5/4/2011,413
5/5/2011,383
5/6/2011,487
5/7/2011,394
5/8/2011,333
5/9/2011,436
5/10/2011,428
5/11/2011,461
5/12/2011,450
5/13/2011,500
5/14/2011,390
5/15/2011,362
5/16/2011,389
5/17/2011,400
5/18/2011,454
5/19/2011,441
5/20/2011,525
5/21/2011,390
5/22/2011,357
5/23/2011,477
5/24/2011,473
5/25/2011,472
5/26/2011,456
5/27/2011,509
5/28/2011,437
5/29/2011,362
5/30/2011,358
5/31/2011,425
6/1/2011,542
6/2/2011,460
6/3/2011,458
6/4/2011,433
6/5/2011,375
6/6/2011,435
6/7/2011,458
6/8/2011,426
6/9/2011,450
6/10/2011,484
6/11/2011,380
6/12/2011,393
6/13/2011,434
6/14/2011,448
6/15/2011,522
6/16/2011,499
6/17/2011,456
6/18/2011,409
6/19/2011,361
6/20/2011,454
6/21/2011,501
6/22/2011,476
6/23/2011,466
6/24/2011,499
6/25/2011,451
6/26/2011,368
6/27/2011,470
6/28/2011,465
6/29/2011,494
6/30/2011,500
7/1/2011,561
7/2/2011,457
7/3/2011,360
7/4/2011,384
7/5/2011,436
7/6/2011,430
7/7/2011,462
7/8/2011,482
7/9/2011,438
7/10/2011,377
7/11/2011,450
7/12/2011,487
7/13/2011,484
7/14/2011,536
7/15/2011,541
7/16/2011,453
7/17/2011,427
7/18/2011,467
7/19/2011,456
7/20/2011,486
7/21/2011,467
7/22/2011,466
7/23/2011,431
7/24/2011,388
7/25/2011,490
7/26/2011,512
7/27/2011,493
7/28/2011,482
7/29/2011,525
7/30/2011,460
7/31/2011,388
8/1/2011,574
8/2/2011,443
8/3/2011,467
8/4/2011,489
8/5/2011,532
8/6/2011,438
8/7/2011,384
8/8/2011,450
8/9/2011,446
8/10/2011,475
8/11/2011,485
8/12/2011,508
8/13/2011,465
8/14/2011,327
8/15/2011,549
8/16/2011,431
8/17/2011,488
8/18/2011,451
8/19/2011,531
8/20/2011,446
8/21/2011,343
8/22/2011,493
8/23/2011,487
8/24/2011,495
8/25/2011,456
8/26/2011,509
8/27/2011,298
8/28/2011,218
8/29/2011,480
8/30/2011,495
8/31/2011,456
9/1/2011,538
9/2/2011,507
9/3/2011,436
9/4/2011,363
9/5/2011,363
9/6/2011,373
9/7/2011,420
9/8/2011,423
9/9/2011,475
9/10/2011,392
9/11/2011,358
9/12/2011,407
9/13/2011,465
9/14/2011,480
9/15/2011,459
9/16/2011,509
9/17/2011,410
9/18/2011,346
9/19/2011,486
9/20/2011,451
9/21/2011,500
9/22/2011,514
9/23/2011,483
9/24/2011,432
9/25/2011,391
9/26/2011,490
9/27/2011,496
9/28/2011,508
9/29/2011,473
9/30/2011,477
10/1/2011,510
10/2/2011,367
10/3/2011,416
10/4/2011,449
10/5/2011,505
10/6/2011,449
10/7/2011,511
10/8/2011,378
10/9/2011,403
10/10/2011,408
10/11/2011,477
10/12/2011,465
10/13/2011,493
10/14/2011,482
10/15/2011,464
10/16/2011,411
10/17/2011,447
10/18/2011,521
10/19/2011,489
10/20/2011,537
10/21/2011,514
10/22/2011,451
10/23/2011,367
10/24/2011,475
10/25/2011,461
10/26/2011,442
10/27/2011,444
10/28/2011,540
10/29/2011,345
10/30/2011,362
10/31/2011,429
11/1/2011,531
11/2/2011,432
11/3/2011,462
11/4/2011,503
11/5/2011,456
11/6/2011,368
11/7/2011,483
11/8/2011,422
11/9/2011,476
11/10/2011,459
11/11/2011,484
11/12/2011,447
11/13/2011,385
11/14/2011,493
11/15/2011,468
11/16/2011,450
11/17/2011,454
11/18/2011,501
11/19/2011,453
11/20/2011,363
11/21/2011,485
11/22/2011,521
11/23/2011,548
11/24/2011,277
11/25/2011,550
11/26/2011,452
11/27/2011,388
11/28/2011,492
11/29/2011,435
11/30/2011,501
12/1/2011,510
12/2/2011,489
12/3/2011,414
12/4/2011,328
12/5/2011,504
12/6/2011,424
12/7/2011,394
12/8/2011,470
12/9/2011,504
12/10/2011,468
12/11/2011,334
12/12/2011,462
12/13/2011,478
12/14/2011,512
12/15/2011,549
12/16/2011,580
12/17/2011,444
12/18/2011,332
12/19/2011,479
12/20/2011,504
12/21/2011,532
12/22/2011,517
12/23/2011,557
12/24/2011,398
12/25/2011,224
12/26/2011,356
12/27/2011,389
12/28/2011,457
12/29/2011,416
12/30/2011,468
12/31/2011,398
1/1/2012,429
1/2/2012,316
1/3/2012,416
1/4/2012,383
1/5/2012,413
1/6/2012,468
1/7/2012,403
1/8/2012,349
1/9/2012,439
1/10/2012,428
1/11/2012,391
1/12/2012,428
1/13/2012,452
1/14/2012,347
1/15/2012,314
1/16/2012,394
1/17/2012,416
1/18/2012,397
1/19/2012,437
1/20/2012,470
1/21/2012,340
1/22/2012,304
1/23/2012,451
1/24/2012,447
1/25/2012,415
1/26/2012,440
1/27/2012,532
1/28/2012,407
1/29/2012,368
1/30/2012,432
1/31/2012,403
2/1/2012,461
2/2/2012,436
2/3/2012,440
2/4/2012,400
2/5/2012,326
2/6/2012,410
2/7/2012,417
2/8/2012,403
2/9/2012,404
2/10/2012,522
2/11/2012,321
2/12/2012,346
2/13/2012,375
2/14/2012,395
2/15/2012,420
2/16/2012,397
2/17/2012,464
2/18/2012,413
2/19/2012,342
2/20/2012,359
2/21/2012,430
2/22/2012,404
2/23/2012,411
2/24/2012,453
2/25/2012,367
2/26/2012,304
2/27/2012,403
2/28/2012,418
2/29/2012,392
3/1/2012,450
3/2/2012,414
3/3/2012,370
3/4/2012,326
3/5/2012,373
3/6/2012,349
3/7/2012,383
3/8/2012,419
3/9/2012,436
3/10/2012,386
3/11/2012,316
3/12/2012,437
3/13/2012,406
3/14/2012,373
3/15/2012,459
3/16/2012,477
3/17/2012,400
3/18/2012,347
3/19/2012,415
3/20/2012,443
3/21/2012,426
3/22/2012,431
3/23/2012,458
3/24/2012,374
3/25/2012,340
3/26/2012,418
3/27/2012,380
3/28/2012,425
3/29/2012,428
3/30/2012,455
3/31/2012,361
4/1/2012,383
